1.0	 	 	 
1.0	 202.0	 	 
38.56340662099176	 6.3694545863785015	 32.3079526589818	 1.0	 ;
39.005030392320606	 6.335975156911658	 31.917965906949203	 1.0	 ;
39.44665416364944	 6.30161368368882	 31.540368988192224	 1.0	 ;
39.888277934978284	 6.266395675711602	 31.17496153486876	 1.0	 ;
40.32990170630712	 6.230346641981617	 30.821546257971683	 1.0	 ;
40.77152547763596	 6.19349209150048	 30.479928738767022	 1.0	 ;
41.2131492489648	 6.1558575332698	 30.149917226358276	 1.0	 ;
41.65477302029364	 6.117468476291191	 29.831322440656084	 1.0	 ;
42.096396791622475	 6.078350429566272	 29.523957380065713	 1.0	 ;
42.53802056295132	 6.038528902096649	 29.227637133233454	 1.0	 ;
42.97964433428015	 5.99802940288394	 28.942178694219727	 1.0	 ;
43.421268105608995	 5.986715487645754	 28.524521225668288	 1.0	 ;
43.86289187693783	 5.930275601217588	 28.330432871995733	 1.0	 ;
44.30451564826667	 5.874710442716736	 28.13962277164495	 1.0	 ;
44.74613941959551	 5.819995751731105	 27.952185432080007	 1.0	 ;
45.18776319092435	 5.766109020045573	 27.76820014516105	 1.0	 ;
45.629386962253186	 5.713029372373236	 27.587731546872092	 1.0	 ;
46.07101073358203	 5.6607374400378125	 27.41083023330332	 1.0	 ;
46.512634504910864	 5.609215230641528	 27.23753341757104	 1.0	 ;
46.954258276239706	 5.558445996411982	 27.067865614002518	 1.0	 ;
47.39588204756855	 5.508414103567635	 26.901839337632026	 1.0	 ;
47.837505818897384	 5.459104904682014	 26.739455808792588	 1.0	 ;
48.279129590226226	 5.410504615672664	 26.580705654296082	 1.0	 ;
48.72075336155506	 5.362600198712222	 26.42556959827485	 1.0	 ;
49.162377132883904	 5.315379252046558	 26.274019137249162	 1.0	 ;
49.60400090421274	 5.268829907428984	 26.126017195297756	 1.0	 ;
50.04562467554158	 5.2229407356303765	 25.981518756382844	 1.0	 ;
50.48724844687042	 5.177700660270102	 25.840471471885255	 1.0	 ;
50.92887221819926	 5.133098880030267	 25.70281624225305	 1.0	 ;
51.370495989528095	 5.08912479916106	 25.56848777237842	 1.0	 ;
51.81211976085694	 5.045767966061145	 25.437415100875217	 1.0	 ;
52.25374353218577	 5.003017532564603	 25.30952456780959	 1.0	 ;
52.695367303514615	 4.960864182603714	 25.184730311185184	 1.0	 ;
53.13699107484345	 4.919297089285013	 25.06294989202106	 1.0	 ;
53.57861484617229	 4.878305912028411	 24.94409448472905	 1.0	 ;
54.02023861750113	 4.837880255502219	 24.828071882080952	 1.0	 ;
54.46186238882997	 4.79800964766109	 24.71478689146792	 1.0	 ;
54.903486160158806	 4.758683522938035	 24.604141712269705	 1.0	 ;
55.34510993148765	 4.719891209870623	 24.496036296814022	 1.0	 ;
55.786733702816484	 4.681621922563114	 24.390368696811535	 1.0	 ;
56.22835747414533	 4.643864755566205	 24.28703539623915	 1.0	 ;
56.66998124547416	 4.606608857630255	 24.185930708267744	 1.0	 ;
57.111605016803004	 4.567368334027862	 24.1	 1.0	 ;
57.55322878813184	 4.512860506538369	 24.099999999999998	 1.0	 ;
57.99485255946068	 4.459464564201681	 24.1	 1.0	 ;
58.43647633078952	 4.407135341459533	 24.1	 1.0	 ;
58.87810010211836	 4.355828624637858	 24.1	 1.0	 ;
59.319723873447195	 4.305501179786263	 24.100000000000005	 1.0	 ;
59.76134764477604	 4.2561107783001075	 24.1	 1.0	 ;
60.20297141610487	 4.207616220325059	 24.099999999999998	 1.0	 ;
60.644595187433715	 4.159977355944001	 24.099999999999998	 1.0	 ;
61.08621895876255	 4.113155104147194	 24.1	 1.0	 ;
61.52784273009139	 4.067111469583832	 24.1	 1.0	 ;
61.969466501420236	 4.021809557097382	 24.100000000000005	 1.0	 ;
62.41109027274907	 3.9772135840422296	 24.1	 1.0	 ;
62.85271404407791	 3.9332888903839476	 24.1	 1.0	 ;
63.29433781540675	 3.890001946581553	 24.1	 1.0	 ;
63.73596158673559	 3.8473203592521643	 24.1	 1.0	 ;
64.17758535806442	 3.8052128746186114	 24.1	 1.0	 ;
64.61920912939327	 3.763649379739306	 24.1	 1.0	 ;
65.0608329007221	 3.7226009015208574	 24.1	 1.0	 ;
65.50245667205095	 3.68203960351267	 24.1	 1.0	 ;
65.94408044337979	 3.6419387804851033	 24.1	 1.0	 ;
66.38570421470862	 3.6022728507890633	 24.1	 1.0	 ;
66.82732798603746	 3.5630173464990387	 24.1	 1.0	 ;
67.2689517573663	 3.5241489013378944	 24.1	 1.0	 ;
67.71057552869513	 3.4856452363846895	 24.1	 1.0	 ;
68.15219930002398	 3.447485143565197	 24.1	 1.0	 ;
68.59382307135282	 3.4096484669243154	 24.099999999999998	 1.0	 ;
69.03544684268165	 3.372116081681395	 24.1	 1.0	 ;
69.4770706140105	 3.334869871068508	 24.100000000000005	 1.0	 ;
69.91869438533934	 3.2978927009504106	 24.1	 1.0	 ;
70.36031815666817	 3.261168392227505	 24.1	 1.0	 ;
70.801941927997	 3.2246816910213982	 24.1	 1.0	 ;
71.24356569932586	 3.1884182366430838	 24.1	 1.0	 ;
71.68518947065469	 3.152364527343288	 24.1	 1.0	 ;
72.12681324198353	 3.1165078838453213	 24.100000000000005	 1.0	 ;
72.56843701331236	 3.080836410660923	 24.1	 1.0	 ;
73.01006078464121	 3.045338955188673	 24.099999999999998	 1.0	 ;
73.45168455597005	 3.010005064594299	 24.1	 1.0	 ;
73.89330832729888	 2.974824940473765	 24.100000000000005	 1.0	 ;
74.33493209862772	 2.939789391299463	 24.100000000000005	 1.0	 ;
74.77655586995657	 2.904889782648287	 24.1	 1.0	 ;
75.2181796412854	 2.8701179852124534	 24.100000000000005	 1.0	 ;
75.65980341261424	 2.8354663205928867	 24.100000000000005	 1.0	 ;
76.10142718394309	 2.8009275048750877	 24.100000000000005	 1.0	 ;
76.54305095527192	 2.7664945899875315	 24.099999999999998	 1.0	 ;
76.98467472660076	 2.732160902843168	 24.099999999999998	 1.0	 ;
77.4262984979296	 2.697919982261734	 24.1	 1.0	 ;
77.86792226925844	 2.6637655136773666	 24.1	 1.0	 ;
78.30954604058728	 2.629691261625787	 24.1	 1.0	 ;
78.75116981191611	 2.5956910000162514	 24.1	 1.0	 ;
79.19279358324495	 2.5617584401850406	 24.1	 1.0	 ;
