1.0	 	 	 
1.0	 202.0	 	 
37.67658276199963	 5.300585538514725	 37.734020353458206	 1.0	 ;
38.10653779834173	 5.234897571258727	 37.549352002579866	 1.0	 ;
38.536492834683834	 5.170778844725833	 37.36298842720941	 1.0	 ;
38.966447871025935	 5.108194402202468	 37.17514978355053	 1.0	 ;
39.396402907368035	 5.047108136332474	 36.98606304899265	 1.0	 ;
39.826357943710136	 4.987482931037467	 36.795960962244074	 1.0	 ;
40.256312980052236	 4.929280813443874	 36.60508083541005	 1.0	 ;
40.68626801639434	 4.872463114438381	 36.413663251017866	 1.0	 ;
41.11622305273644	 4.816990636094597	 36.22195066083137	 1.0	 ;
41.54617808907854	 4.762823823879973	 36.03018590674476	 1.0	 ;
41.97613312542064	 4.7099229411406	 35.83861068800658	 1.0	 ;
42.40608816176274	 4.658248239588705	 35.64746402864454	 1.0	 ;
42.83604319810484	 4.607760137346387	 35.45698066356778	 1.0	 ;
43.26599823444694	 4.558419417307317	 35.26738924802665	 1.0	 ;
43.69595327078904	 4.510187275851404	 35.07891171167799	 1.0	 ;
44.12590830713114	 4.463025602062426	 34.891760832140385	 1.0	 ;
44.55586334347324	 4.416897039337719	 34.706139487049334	 1.0	 ;
44.98581837981534	 4.371765120823414	 34.52223934699764	 1.0	 ;
45.41577341615744	 4.327594373355754	 34.34023982588366	 1.0	 ;
45.84572845249954	 4.284350404467619	 34.160307181919606	 1.0	 ;
46.27568348884164	 4.241999971969546	 33.982593777675234	 1.0	 ;
46.705638525183744	 4.200511036069704	 33.80723750328705	 1.0	 ;
47.135593561525845	 4.159852794424542	 33.634361362897025	 1.0	 ;
47.565548597867945	 4.11999557667018	 33.46407422966718	 1.0	 ;
47.995503634210046	 4.080911342318059	 33.296466733972274	 1.0	 ;
48.425458670552146	 4.04257293387907	 33.13161727425206	 1.0	 ;
48.85541370689425	 4.004954541304851	 32.96958824825417	 1.0	 ;
49.28536874323635	 3.9680315483740767	 32.810427318177865	 1.0	 ;
49.71532377957845	 3.931780490708433	 32.65416780542283	 1.0	 ;
50.14527881592055	 3.896179006543934	 32.500829175548276	 1.0	 ;
50.57523385226265	 3.8612057821514996	 32.350417597147576	 1.0	 ;
51.00518888860475	 3.826840493246704	 32.20292656261468	 1.0	 ;
51.43514392494685	 3.79306374407237	 32.05833755563393	 1.0	 ;
51.86509896128895	 3.759857005238173	 31.916620754991452	 1.0	 ;
52.29505399763105	 3.7272025515124514	 31.777735763185454	 1.0	 ;
52.72500903397315	 3.695083400709816	 31.64163234855336	 1.0	 ;
53.15496407031525	 3.6634832541323243	 31.508251195297564	 1.0	 ;
53.58491910665735	 3.6323864395222745	 31.377524651455126	 1.0	 ;
54.01487414299945	 3.601777856780856	 31.249377470741546	 1.0	 ;
54.44482917934155	 3.5716429269638104	 31.123727541957035	 1.0	 ;
54.874784215683654	 3.541967544632191	 31.000486603323115	 1.0	 ;
55.304739252025755	 3.5127380337879335	 30.879560937791904	 1.0	 ;
55.734694288367855	 3.4839411073702955	 30.760852047564686	 1.0	 ;
56.164649324709956	 3.4555638302255445	 30.64425730663537	 1.0	 ;
56.594604361052056	 3.4275935855166866	 30.52967058972357	 1.0	 ;
57.02455939739416	 3.400018044358865	 30.41698287759499	 1.0	 ;
57.45451443373626	 3.3728251384872467	 30.306082838639764	 1.0	 ;
57.88446947007836	 3.34600303576169	 30.19685738665799	 1.0	 ;
58.31442450642046	 3.319540118227634	 30.08919221563535	 1.0	 ;
58.74437954276256	 3.2934249625549086	 29.982972311437344	 1.0	 ;
59.17433457910466	 3.267646322526397	 29.878082441795286	 1.0	 ;
59.60428961544676	 3.2421931134017745	 29.77440762463563	 1.0	 ;
60.03424465178886	 3.2170543978760278	 29.67183357585791	 1.0	 ;
60.46419968813096	 3.1922193734000586	 29.570247137309945	 1.0	 ;
60.89415472447306	 3.1676773607169935	 29.469536685003163	 1.0	 ;
61.32410976081516	 3.1434177933028584	 29.369592519202538	 1.0	 ;
61.75406479715726	 3.1194302076515443	 29.270307235790554	 1.0	 ;
62.18401983349936	 3.0957042340969796	 29.17157608066748	 1.0	 ;
62.61397486984146	 3.072229588153753	 29.073297286333087	 1.0	 ;
63.043929906183564	 3.048996062105473	 28.97537239222484	 1.0	 ;
63.473884942525665	 3.025993516826076	 28.8777065480467	 1.0	 ;
63.903839978867765	 3.003211873612543	 28.78020880131845	 1.0	 ;
64.33379501520986	 2.9806411060155495	 28.682792368501396	 1.0	 ;
64.76375005155197	 2.9582712314827826	 28.58537489067292	 1.0	 ;
65.19370508789407	 2.9360923028027703	 28.487878673202726	 1.0	 ;
65.62366012423617	 2.9140943992124444	 28.39023091005664	 1.0	 ;
66.05361516057826	 2.8922676170963464	 28.29236389279948	 1.0	 ;
66.48357019692037	 2.8706020602193147	 28.19421520429511	 1.0	 ;
66.91352523326248	 2.8490878294029023	 28.095727897405382	 1.0	 ;
67.34348026960457	 2.827715011554193	 27.996850659079453	 1.0	 ;
67.77343530594666	 2.806473667986912	 27.897537959944152	 1.0	 ;
68.20339034228877	 2.785353821928419	 27.797750189989635	 1.0	 ;
68.63334537863088	 2.7643454451368963	 27.69745378070807	 1.0	 ;
69.06330041497297	 2.743438443513896	 27.596621314435545	 1.0	 ;
69.49325545131506	 2.7226226416038664	 27.495231621658643	 1.0	 ;
69.92321048765717	 2.7018877658697686	 27.393269867106007	 1.0	 ;
70.35316552399927	 2.6812234265984283	 27.290727625845555	 1.0	 ;
70.78312056034137	 2.6606190982924227	 27.187602950667117	 1.0	 ;
71.21307559668347	 2.6400640983895105	 27.083900432207475	 1.0	 ;
71.64303063302557	 2.6195475641246997	 26.97963125367448	 1.0	 ;
72.07298566936767	 2.599058427347145	 26.87481324210028	 1.0	 ;
72.50294070570978	 2.578585387074743	 26.769470918489596	 1.0	 ;
72.93289574205187	 2.558116879546819	 26.66363554957544	 1.0	 ;
73.36285077839398	 2.5376410455319993	 26.557345204080985	 1.0	 ;
73.79280581473607	 2.51714569461613	 26.450644816916853	 1.0	 ;
74.22276085107818	 2.4966182661516347	 26.34358626536939	 1.0	 ;
74.65271588742027	 2.4760457865718246	 26.236228461438056	 1.0	 ;
75.08267092376238	 2.455414822696818	 26.128637465515826	 1.0	 ;
75.51262596010447	 2.434711430659653	 26.020886627049755	 1.0	 ;
75.94258099644658	 2.413921100032509	 25.913056758732335	 1.0	 ;
76.37253603278867	 2.393028692705368	 25.805236351683668	 1.0	 ;
76.80249106913078	 2.372018376008459	 25.697521840394185	 1.0	 ;
77.23244610547287	 2.350873549549912	 25.59001792725537	 1.0	 ;
77.66240114181498	 2.329576765141368	 25.482837978624957	 1.0	 ;
78.09235617815708	 2.3081096391501483	 25.376104506001152	 1.0	 ;
78.52231121449918	 2.2864527565093264	 25.2699497486298	 1.0	 ;
78.95226625084128	 2.2645855655193214	 25.16451637684156	 1.0	 ;
79.38222128718338	 2.242486262453966	 25.059958339257925	 1.0	 ;
79.81217632352548	 2.220131664815201	 24.956441881796135	 1.0	 ;
80.24213135986759	 2.1974970718991993	 24.854146772273157	 1.0	 ;
80.67208639620968	 2.174556111083869	 24.753267772040015	 1.0	 ;
81.10204143255179	 2.1512805679427154	 24.65401640553838	 1.0	 ;
81.53199646889388	 2.1276401979251602	 24.556623090653108	 1.0	 ;
81.96195150523599	 2.1036025169355033	 24.461339707239386	 1.0	 ;
82.39190654157808	 2.0791325668411393	 24.368442709227693	 1.0	 ;
82.82186157792019	 2.0541926525327416	 24.278236895772817	 1.0	 ;
83.25181661426228	 2.0287420572887425	 24.19105985734967	 1.0	 ;
83.68177165060439	 2.0027366434507328	 24.107288331482494	 1.0	 ;
84.11172668694648	 1.9701709831851626	 24.1	 1.0	 ;
84.54168172328859	 1.9368735597182118	 24.1	 1.0	 ;
84.97163675963068	 1.9034284098598573	 24.1	 1.0	 ;
85.40159179597279	 1.8698121056437809	 24.1	 1.0	 ;
85.83154683231488	 1.8359993101257917	 24.1	 1.0	 ;
86.26150186865699	 1.8019626626349092	 24.1	 1.0	 ;
86.69145690499909	 1.7676726618807856	 24.1	 1.0	 ;
87.1214119413412	 1.7330975469187897	 24.1	 1.0	 ;
87.55136697768329	 1.6982031759709781	 24.1	 1.0	 ;
87.9813220140254	 1.6629529031052013	 24.1	 1.0	 ;
88.41127705036749	 1.627307452769085	 24.1	 1.0	 ;
88.8412320867096	 1.5912247921829235	 24.1	 1.0	 ;
89.27118712305169	 1.554660001588653	 24.100000000000005	 1.0	 ;
89.7011421593938	 1.5175651423546201	 24.100000000000005	 1.0	 ;
90.13109719573589	 1.479889122938354	 24.1	 1.0	 ;
90.561052232078	 1.4415775627060712	 24.1	 1.0	 ;
95.32742340218736	 0.7928676594883393	 24.099999999999998	 1.0	 ;
